City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,indramayu,-6.3264,108.32,27.78,73,90,0.82,ID,1674359369
1,east london,-33.0153,27.9116,23.52,94,40,1.03,ZA,1674358784
2,jamestown,42.097,-79.2353,-0.23,65,100,3.6,US,1674358961
3,georgetown,5.4112,100.3354,29.96,78,20,2.57,MY,1674358956
4,portland,45.5234,-122.6762,6.56,88,75,4.12,US,1674358888
5,merauke,-8.4667,140.3333,28.94,74,66,4.7,ID,1674358986
6,kodiak,57.79,-152.4072,-1.27,69,0,2.57,US,1674358975
7,lebu,-37.6167,-73.65,14.78,86,0,5.3,CL,1674359031
8,hofn,64.2539,-15.2082,4.53,87,100,13.24,IS,1674359006
9,chokurdakh,70.6333,147.9167,-39.81,100,99,3.09,RU,1674358975
10,esperance,-33.8667,121.9,24.06,51,8,7.41,AU,1674358780
11,mataura,-46.1927,168.8643,12.94,93,95,2.75,NZ,1674358955
12,vostok,46.4856,135.8833,-22.92,76,99,2.3,RU,1674358977
13,dyatkovo,53.5978,34.3382,-1.08,81,100,2.31,RU,1674359370
14,korla,41.7597,86.1469,-10.14,67,3,4.14,CN,1674359000
15,mahebourg,-20.4081,57.7,25.14,94,75,2.06,MU,1674358984
16,chuy,-33.6971,-53.4616,20.38,94,36,2.72,UY,1674358986
17,tuktoyaktuk,69.4541,-133.0374,-27.73,100,100,1.95,CA,1674358974
18,la orilla,17.9833,-102.2333,21.5,83,0,1.92,MX,1674359371
19,khatanga,71.9667,102.5,-38.13,85,37,1.09,RU,1674358972
20,nikolskoye,59.7035,30.7861,-2.89,97,85,2.63,RU,1674358982
21,bredasdorp,-34.5322,20.0403,19.62,77,64,2.01,ZA,1674358985
22,saskylakh,71.9167,114.0833,-36.75,92,99,1.43,RU,1674358979
23,port alfred,-33.5906,26.891,21.21,97,100,2.24,ZA,1674358775
24,rinconada,19.35,-96.5167,21.81,91,1,0.99,MX,1674359371
25,ushuaia,-54.8,-68.3,7.81,71,20,8.23,AR,1674358851
26,vaini,-21.2,-175.2,30.09,84,20,3.6,TO,1674358956
27,bandarbeyla,9.4942,50.8122,23.64,69,50,8.13,SO,1674358974
28,new norfolk,-42.7826,147.0587,22.06,58,69,0.45,AU,1674358962
29,severnoye,56.3491,78.3619,-17.88,96,100,6.49,RU,1674359372
30,saint-philippe,-21.3585,55.7679,26.77,80,91,3.59,RE,1674358963
31,butaritari,3.0707,172.7902,27.4,72,96,7.36,KI,1674358962
32,kapaa,22.0752,-159.319,25.18,84,40,5.14,US,1674358962
33,chumikan,54.7183,135.315,-27.48,79,26,7.71,RU,1674359373
34,senanga,-16.1167,23.2667,18.17,97,100,3.35,ZM,1674359373
35,fortuna,40.5982,-124.1573,10.37,93,100,0.0,US,1674359044
36,pisco,-13.7,-76.2167,22.03,83,0,3.09,PE,1674359004
37,isangel,-19.55,169.2667,31.06,74,75,3.09,VU,1674358958
38,provideniya,64.3833,-173.3,-26.98,84,24,4.85,RU,1674358955
39,bambous virieux,-20.3428,57.7575,25.12,94,75,2.06,MU,1674358960
40,busselton,-33.65,115.3333,30.2,37,0,4.47,AU,1674358884
41,pevek,69.7008,170.3133,-39.12,100,100,2.35,RU,1674358953
42,clyde river,70.4692,-68.5914,-32.87,75,100,5.14,CA,1674358971
43,yar-sale,66.8333,70.8333,-10.4,96,100,1.98,RU,1674359374
44,barrow,71.2906,-156.7887,-16.99,85,100,9.26,US,1674358957
45,queimadas,-10.9783,-39.6264,22.07,79,10,2.67,BR,1674359374
46,tiling,9.9736,122.6544,27.8,73,93,4.9,PH,1674359375
47,albany,42.6001,-73.9662,-0.53,80,90,1.15,US,1674358959
48,ribeira grande,38.5167,-28.7,15.99,85,6,5.81,PT,1674358953
49,dikson,73.5069,80.5464,-18.4,94,100,11.5,RU,1674358993
50,castro,-24.7911,-50.0119,17.9,88,82,0.87,BR,1674358977
51,port elizabeth,-33.918,25.5701,23.39,90,100,7.72,ZA,1674358756
52,cape town,-33.9258,18.4232,20.06,82,75,1.54,ZA,1674358791
53,arraial do cabo,-22.9661,-42.0278,22.53,89,5,1.46,BR,1674358968
54,matara,5.9485,80.5353,23.23,90,100,4.41,LK,1674359056
55,kedougou,12.5579,-12.1743,22.73,25,13,1.29,SN,1674359342
56,monticello,45.3055,-93.7941,-6.11,97,100,1.54,US,1674359376
57,yako,12.9667,-2.2667,21.33,16,46,2.83,BF,1674359377
58,rocha,-34.4833,-54.3333,21.35,73,26,3.57,UY,1674359017
59,punta arenas,-53.15,-70.9167,9.06,61,0,5.14,CL,1674358893
60,hilo,19.7297,-155.09,27.93,71,0,6.69,US,1674358960
61,hobart,-42.8794,147.3294,22.25,69,40,6.17,AU,1674358976
62,kahului,20.8947,-156.47,27.01,62,20,3.09,US,1674359005
63,naze,28.3667,129.4833,17.51,70,100,6.76,JP,1674359040
64,amga,60.8953,131.9608,-41.75,93,98,0.99,RU,1674359377
65,nabire,-3.3667,135.4833,30.57,61,84,2.59,ID,1674359008
66,hermanus,-34.4187,19.2345,17.67,83,90,2.44,ZA,1674358957
67,kumburgaz,41.0211,28.4772,8.95,77,100,1.19,TR,1674359378
68,bitkine,11.9801,18.2138,21.31,21,100,3.19,TD,1674359239
69,mar del plata,-38.0023,-57.5575,19.97,81,0,2.68,AR,1674358820
70,bluff,-46.6,168.3333,14.11,78,77,4.98,NZ,1674358958
71,zhigansk,66.7697,123.3711,-41.05,97,99,0.58,RU,1674358997
72,altay,47.8667,88.1167,-22.26,69,19,2.26,CN,1674359379
73,atuona,-9.8,-139.0333,26.31,78,25,8.77,PF,1674358960
74,adrar,20.5022,-10.0711,14.51,22,2,5.1,MR,1674359379
75,peace river,56.2501,-117.286,5.17,65,75,6.17,CA,1674359379
76,tiksi,71.6872,128.8694,-27.48,86,100,2.18,RU,1674358975
77,padang,-0.9492,100.3543,27.03,76,100,1.65,ID,1674358906
78,cololaca,14.3,-88.8833,19.34,64,9,1.13,HN,1674359380
79,cairns,-16.9167,145.7667,32.81,73,75,4.12,AU,1674359381
80,vila velha,-20.3297,-40.2925,23.97,98,0,1.03,BR,1674358968
81,sabha,27.0377,14.4283,10.66,20,100,3.56,LY,1674359381
82,rikitea,-23.1203,-134.9692,26.47,76,97,7.83,PF,1674358955
83,avarua,-21.2078,-159.775,28.03,74,75,2.06,CK,1674358971
84,portlethen,57.0547,-2.1307,4.41,89,100,7.2,GB,1674359381
85,puerto ayora,-0.7393,-90.3518,23.64,96,40,0.45,EC,1674358964
86,tasiilaq,65.6145,-37.6368,-16.91,37,16,13.93,GL,1674358971
87,thompson,55.7435,-97.8558,-11.91,85,100,2.06,CA,1674359018
88,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.67,51,0,3.0,RU,1674359173
89,souillac,-20.5167,57.5167,24.21,94,75,2.06,MU,1674359382
90,pangnirtung,66.1451,-65.7125,-16.39,98,100,1.28,CA,1674359023
91,cananea,30.95,-110.3,1.54,43,0,2.4,MX,1674359382
92,airai,-8.9266,125.4092,22.96,63,74,1.3,TL,1674358962
93,qaanaaq,77.484,-69.3632,-34.98,62,29,3.0,GL,1674358958
94,anadyr,64.75,177.4833,-29.72,67,0,3.0,RU,1674359352
95,gizo,-8.103,156.8419,29.12,65,93,1.02,SB,1674359383
96,hithadhoo,-0.6,73.0833,27.07,75,37,5.48,MV,1674358960
97,torbay,47.6666,-52.7314,0.42,98,100,12.86,CA,1674359023
98,lompoc,34.6391,-120.4579,11.23,88,0,4.12,US,1674359013
99,khambhat,22.3,72.6167,17.26,51,0,1.5,IN,1674359383
100,batagay-alyta,67.8006,130.4114,-30.32,80,100,1.09,RU,1674359383
101,ambilobe,-13.2,49.05,23.64,90,95,0.23,MG,1674359383
102,chifeng,42.2683,118.9636,-12.57,49,100,3.96,CN,1674359024
103,cidreira,-30.1811,-50.2056,22.33,90,42,2.33,BR,1674358970
104,inongo,-1.95,18.2667,22.02,91,100,2.32,CD,1674359241
105,beringovskiy,63.05,179.3167,-19.58,99,100,5.79,RU,1674358985
106,eirunepe,-6.6603,-69.8736,21.52,99,90,0.83,BR,1674359108
107,asau,46.4333,26.4,2.51,93,100,0.98,RO,1674359013
108,itaituba,-4.2761,-55.9836,21.21,100,88,0.21,BR,1674359098
109,romny,50.751,33.4747,-1.42,93,6,3.16,UA,1674359384
110,grindavik,63.8424,-22.4338,-0.74,80,75,14.92,IS,1674359281
111,yeniseysk,58.4497,92.1703,-40.02,98,66,1.28,RU,1674359385
112,half moon bay,37.4636,-122.4286,10.95,65,0,4.63,US,1674358964
113,karratha,-20.7377,116.8463,31.92,50,32,4.7,AU,1674359203
114,puerto asis,0.5133,-76.5007,21.03,97,91,1.21,CO,1674359115
115,les cayes,18.2,-73.75,21.57,81,1,2.23,HT,1674359385
116,vardo,70.3705,31.1107,-1.22,76,100,13.74,NO,1674359385
117,vangaindrano,-23.35,47.6,24.39,93,100,3.11,MG,1674359385
118,loralai,30.3705,68.598,2.67,47,49,3.34,PK,1674359386
119,saint-pierre,-21.3393,55.4781,27.17,69,0,2.06,RE,1674358769
120,oktyabrskiy,54.4815,53.471,-14.42,85,99,2.85,RU,1674359386
121,itarema,-2.9248,-39.9167,24.79,86,63,3.69,BR,1674359016
122,cedar city,37.6775,-113.0619,-7.0,79,0,1.54,US,1674359143
123,bengkulu,-3.8004,102.2655,28.14,69,78,2.7,ID,1674358968
124,beaufort,5.3473,115.7455,31.51,56,97,0.98,MY,1674359338
125,tefe,-3.3542,-64.7114,22.35,98,62,1.07,BR,1674359387
126,ponta do sol,32.6667,-17.1,18.17,81,59,3.42,PT,1674358957
127,soyo,-6.1349,12.3689,25.13,87,100,1.23,AO,1674359056
128,jacareacanga,-6.2222,-57.7528,21.33,99,56,0.96,BR,1674359388
129,elizabeth city,36.2946,-76.2511,6.12,79,0,2.06,US,1674359388
130,naantali,60.4674,22.0243,-3.27,93,100,1.03,FI,1674359388
131,christchurch,-43.5333,172.6333,23.84,42,16,7.2,NZ,1674359100
132,san quintin,30.4833,-115.95,13.03,56,0,2.74,MX,1674359388
133,tazovskiy,67.4667,78.7,-17.91,94,100,6.1,RU,1674359388
134,marau,-28.4492,-52.2,17.73,98,67,1.51,BR,1674359389
135,prince rupert,54.3161,-130.3201,3.83,92,100,4.12,CA,1674358970
136,faya,18.3851,42.4509,9.06,89,5,0.49,SA,1674359389
137,veraval,20.9,70.3667,18.3,55,4,6.15,IN,1674359089
138,ambon,-3.6954,128.1814,32.08,58,40,4.12,ID,1674359389
139,port hardy,50.6996,-127.4199,4.1,87,40,3.6,CA,1674358980
140,estreito,-5.7833,-43.25,22.56,84,68,1.37,BR,1674359171
141,havre-saint-pierre,50.2334,-63.5986,-7.0,78,0,1.54,CA,1674358956
142,kachiry,53.0675,76.1036,-14.74,95,99,4.77,KZ,1674359390
143,katsuura,35.1333,140.3,5.3,92,100,5.19,JP,1674358811
144,zhangjiakou,40.81,114.8794,-5.93,47,78,1.73,CN,1674359390
145,haines junction,60.7522,-137.5108,-9.1,97,99,0.88,CA,1674359030
146,nome,64.5011,-165.4064,-30.5,76,0,1.54,US,1674359390
147,fernley,39.608,-119.2518,-1.52,69,64,0.89,US,1674359024
148,malakal,9.5334,31.6605,22.84,22,98,2.58,SS,1674359028
149,darhan,49.4867,105.9228,-29.73,84,95,1.6,MN,1674359329
150,carutapera,-1.195,-46.02,24.05,93,94,2.54,BR,1674359391
151,norman wells,65.282,-126.8329,-18.98,78,100,6.17,CA,1674358985
152,hamilton,39.1834,-84.5333,0.23,84,0,3.6,US,1674359391
153,rio grande,-32.035,-52.0986,22.99,90,100,4.27,BR,1674359049
154,sao filipe,14.8961,-24.4956,21.41,66,21,4.88,CV,1674358966
155,iqaluit,63.7506,-68.5145,-12.15,84,100,1.54,CA,1674358808
156,mandalgovi,45.7625,106.2708,-21.13,80,100,9.08,MN,1674359392
157,constitucion,-35.3333,-72.4167,14.31,78,0,4.12,CL,1674358981
158,kletnya,53.3897,33.2171,-0.22,84,100,2.76,RU,1674359392
159,betul,21.9153,77.8961,22.43,48,2,5.18,IN,1674359392
160,kailua,21.4022,-157.7394,26.99,70,7,1.34,US,1674359392
161,chulman,56.8479,124.9104,-38.5,91,100,2.78,RU,1674359393
162,takoradi,4.8845,-1.7554,26.29,84,38,2.98,GH,1674359053
163,puerto vallarta,20.6204,-105.2307,18.94,93,29,1.11,MX,1674359393
164,pontes e lacerda,-15.2261,-59.3353,22.38,87,34,1.59,BR,1674359393
165,longyearbyen,78.2186,15.6401,-2.09,86,75,12.35,SJ,1674358980
166,port blair,11.6667,92.75,28.02,69,75,4.12,IN,1674359102
167,letterkenny,54.95,-7.7333,8.71,95,100,4.66,IE,1674359393
168,diyarb najm,30.7542,31.4393,9.32,89,0,1.69,EG,1674359229
169,wairoa,-39.0333,177.3667,25.31,67,100,1.11,NZ,1674359394
170,kieta,-6.2167,155.6333,29.67,65,100,2.35,PG,1674359043
171,kihei,20.785,-156.4656,27.01,68,20,3.09,US,1674359114
172,amarante do maranhao,-5.5667,-46.7422,21.07,98,74,1.11,BR,1674359394
173,touros,-5.1989,-35.4608,26.09,80,5,4.45,BR,1674358988
174,bathsheba,13.2167,-59.5167,25.34,73,20,9.26,BB,1674359012
175,young,-32.6833,-57.6333,22.5,59,0,1.79,UY,1674359106
176,kavaratti,10.5669,72.642,26.8,69,46,5.87,IN,1674358978
177,tiznit,29.5833,-9.5,9.64,64,0,0.26,MA,1674359395
178,jaszbereny,47.5,19.9167,2.26,92,100,2.54,HU,1674359395
179,fez,34.0372,-4.9998,11.14,93,75,3.6,MA,1674359279
180,fredericksburg,38.3032,-77.4605,1.44,81,0,0.0,US,1674359395
181,ridge,40.894,-72.8959,3.21,77,100,0.0,US,1674359395
182,pangoa,-12.1167,-73.0,19.41,99,85,0.15,PE,1674359395
183,erenhot,43.6475,111.9767,-13.7,54,100,6.98,CN,1674359396
184,alekseyevka,50.6309,38.6903,-3.87,86,100,4.58,RU,1674359396
185,porto murtinho,-21.6989,-57.8825,28.26,57,19,4.32,BR,1674359396
186,viedma,-40.8135,-62.9967,20.67,66,80,2.78,AR,1674358965
187,broken hill,-31.95,141.4333,29.59,29,0,5.72,AU,1674359048
188,harper,4.375,-7.7169,25.96,84,90,3.68,LR,1674358989
189,faanui,-16.4833,-151.75,27.3,65,100,2.33,PF,1674358977
190,avera,33.194,-82.5271,6.73,58,100,3.61,US,1674359012
191,severo-kurilsk,50.6789,156.125,-5.37,85,100,4.61,RU,1674358987
192,chapais,49.7834,-74.8492,-14.12,95,100,3.37,CA,1674359020
193,faaborg,55.0951,10.2423,1.0,83,12,4.94,DK,1674359397
194,yellowknife,62.456,-114.3525,-9.69,92,100,4.12,CA,1674358973
195,talnakh,69.4865,88.3972,-17.56,66,100,6.54,RU,1674358961
196,natal,-5.795,-35.2094,26.36,83,20,2.57,BR,1674359047
197,jiayuguan,39.8167,98.3,-10.48,55,100,5.21,CN,1674359286
198,manoel urbano,-8.8389,-69.2597,21.28,98,75,1.17,BR,1674359398
199,magrath,49.4167,-112.8686,4.08,60,45,8.75,CA,1674359398
200,surt,31.2089,16.5887,11.7,28,0,5.85,LY,1674359139
201,lucapa,-8.4192,20.7447,16.91,96,100,1.09,AO,1674359398
202,sterling,39.0062,-77.4286,1.41,82,20,1.54,US,1674359399
203,cascais,38.6979,-9.4215,12.74,87,3,9.83,PT,1674359399
204,henties bay,-22.116,14.2845,18.23,88,87,1.97,NA,1674359399
205,borovsk,55.2064,36.4861,-2.04,74,17,2.06,RU,1674359399
206,tuatapere,-46.1333,167.6833,14.67,80,85,4.3,NZ,1674359001
207,sabya,17.1495,42.6254,23.79,75,1,1.37,SA,1674359399
